document_id,title,text,url,motorized transport,non-motorized transport,cycling,walking,scooters,public transport (local),public transport (long-distance),commercial transport,stationary traffic (parking),moving traffic,inter- and multimodality,new services
Ott262,Alma Wartenberg Platz aufwerten,"Der Alma Wartenberg Platz ist ein wichtiger Ort für Begegnungen.
Menschen sitzen hier zusammen, Essen, trinken, Plaudern.
Die Gestaltung trägt diesem Ort nicht Rechnung - große Busse fahren durch, es gibt zweispurigen Verkehr, die Radfahrer haben keinen Platz, es gibt keine Ansehnliche Gestaltung, der Platz bricht mit den Flanierstraßen, die von dort starten.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/262,1,1,1,0,0,1,0,0,0,1,0,0
Ott263,"Die Räder und E-Scooter,E Vesper!","Was macht endlich der Bezirk, das diese Räder die überall rumstehen verschwinden!!
Und von den ganzen E-Schrott, der auf den Bürgersteigen und in den Grünanlagen rumstehen, rumliegen usw!!
Es kann nicht sein, das ein Bezirk auf Autos und dessen Besitzer hetze betreibt, aber Räder und Radfahrer*innen sich alles erlauben dürfen und das von einer Bezirksamtsleiterin Frau von Berg auch noch so gewollt ist!
Ich bin ein Mensch mit Handicap und fühle mich bedroht wenn ich die Bürgersteige benutze von diesen Radfahrer und dessen Räder die überall rumstehen, sodas ich NICHT und teilweise diese Bürgersteige NICHT sicher benutzen kann sondern auf der Straße ausweichen muss!!
Was tut dieser Bezirk endlich was dagegen!!!!
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/263,0,1,1,1,1,0,0,0,1,1,0,1
Ott264,Oberfläche Barrierefrei gestalten,"Das Pflaster sort immer wieder für Behinderungen für Fahrräder, Kinderwagen, Gehen.
Es wäre schön, wenn die Oberfläche Barrierefreie gestaltet würde.
Die Gehwege sind u.a. zu klein, um dort mit einem Kinderwagen zu flanieren, insb., bei Gegenverkehr auf dem Gehweg.
Es ist zu wenig Platz.
ggfs. könnte man die Oberfläche auf eine Höhe heben, dass es keinen Bruch an der Borsteinkante gibt, eine ""Multi"" Fläche sozusagen.
Das gilt für mehrere Straßen.
Lösung z.T. schon in Seitenstrassen umgesetzt, ich glaube: Zeißstraße
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/264,0,1,1,1,0,0,0,0,0,1,0,0
Ott265,Kopfsteinpflaster glätten oder entfernen,"Ja, Kopfsteinpflaster sieht gut aus und passt zum urigen Ottensen.
Dennoch gibt es Straßen die kaum oder nur sehr vorsichtig befahrbar sind mit einem Fahrrad und/oder wo Radfahrer aus Angst vor Schäden, Glatteis/rutschen, o.ä. den Fußweg benutzen: Am Born, Bahrenfelder Str., Ottenser Hauptstraße, etc.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/265,0,1,1,0,0,0,0,0,0,1,0,0
Ott266,Bodenwellen in umliegenden Straßen,"Um die Auto-""Poser"", besonders an den direkten Grenzgebieten der zukünftigen verkehrsberuhigten freiRaum-Zone – im wahrsten Sinne des Wortes – zu bremsen und die Geschwindigkeit der Fahrzeuge zu verringern wäre ein Vorschlag über eine Installation von Bodenwellen nachzudenken.
Insbesondere auf der Nöltingstraße rasen die Autofahrer*innen zum Teil mit geschätzten 70km/h durch die enge Straße, nur um am Aurel und der Rehbar einmal kurz ihre ""Coolness"" zu demonstrieren.
Dies ist nicht nur nervig und laut, sondern auch wahnsinnig gefährlich, denn die Kurve am Kemal-Altun-Platz ist erstens nicht immer optimal einsehbar und zweitens spielen einige Kinder vor und am stillgelegten Bagger vor dem Kindergarten.
Vielen Dank.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/266,1,0,0,0,0,0,0,0,0,1,0,0
Ott267,Einbahnstrasse Große Brunnenstrasse im Bereich zwischen 65 und 118 oder ähnliches,"Aufgrunder der Verengung der Fahrbahn durch parkende Fahrzeuge entsteht in dem oben genannten Bereich ein kritischer Punkt der Verkehrsfürung, da durch die Unübersichtlichkeit von beiden Seiten Fahrzeuge in die Engstelle einfahren und sich dann nicht einigen können, wer Vorfahrt hat.
Diverse Male am Tag kommt es zu aggressiv aufgeladenen Situation mit Geschrei und Gehupe, da jeder auf sein scheinbares Recht beharrt und nicht bereit ist, nachzugeben.
Das ist für alle Anwohnerinnen (und bestimmt auch für die betroffenden Personen) extrem unangenehm und nervenaufreibend.
Eine Umwandlung in eine Einbahnstrasse (wie auch immer umsetzbar) wäre extrem erleichternd...
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/267,1,0,0,0,0,0,0,0,1,1,0,0
Ott268,Fußweg Ottenser Hauptstraße,"Die Fußwege an der Ottenser Hauptstaße sind viel zu schmal.
Gastronomie, Kinderwagen,Fahrräder,Hundeleinen,ältere Leute und Menschen,die schnell ans Ziel wollen, teilen sich hier wenige Quadratmeter.
Kurzes Stehenbleiben ist nicht möglich,man hat eigentlich permanent das Gefühl,dass man jemandem im Weg steht.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/268,0,1,0,1,0,0,0,0,0,1,0,0
Ott269,Fahrbahnrandparken verbieten,"Im gesamten Straßenverlauf sollte das Fahrbahnrandparken mindestens einseitig, bestenfalls beidseitig verboten werden und der entstandene Platz vor allem durch eine Verbreiterung der Gehwege oder aber mindestens durch Lastenfahrradstellplätze, normale Fahrradbügel und Begrünung umgenutzt werden.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/269,1,1,1,1,0,0,0,0,1,0,0,0
Ott270,Zebrastreifen Daimlerstr/Planckstr,"Hier parken oft Autos, Fahrradfahrer und Fußgänger werden schlecht gesehen.
Da es auch die Einfahrt in Nebenstraßen ist, wäre ein Zebrastreifen schön, der die Vorfahrt für Fußgänger und Fahhräder regelt
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/270,1,1,1,1,0,0,0,0,1,1,0,0
Ott271,Zebrastreifen Hohenzollernring,"Zum Spielplatz am Schwarzkopfgelände gibt es einen Überweg, der mit Zebrastreifen noch sicherer wäre - viele Autos fahren mit min 50 km/h hier entlang
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/271,1,1,0,1,0,0,0,0,0,1,0,0
